id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
538,Driven to Kill,English,5.1,2009,18+,98.0
540,Antim Swash Sundar,Bengali,5.7,2010,NR,103.0
541,Badlapur,Hindi,7.4,2015,NR,134.0
542,"An American Girl Story: Summer Camp, Friends For Life [Ultra HD]",English,6.4,2017,All,32.0
543,Dreams,Tamil,5.5,2004,13+,149.0
544,Lucy,English,6.4,2014,18+,89.0
547,10 Kalpanakal,Malayalam,5.8,2016,13+,123.0
548,The Trip to Bountiful,English,7.5,1985,7+,107.0
549,Humraaz,Hindi,6.4,2002,13+,166.0
553,The Little Traitor,English,7.0,2009,13+,89.0
554,Bad Boys,Hindi,6.9,1995,13+,118.0
555,Aadi Lakshmi Puraana,Kannada,6.4,2019,13+,121.0
556,Royal Deceit,English,5.6,1994,18+,107.0
557,GIRGITLE,Kannada,6.4,2019,18+,146.0
558,Overcomer,English,6.7,2019,7+,119.0
559,Desaadanam,Malayalam,7.2,1996,All,130.0
560,Blue Moon,Kannada,7.7,2013,NR,109.0
561,Kala Bazaar,Hindi,5.5,1989,All,144.0
563,Bojhena Shey Bojhena,Bengali,7.6,2018,13+,140.0
565,Men in Black,Hindi,7.3,1997,13+,97.0
566,Vinci Da,Bengali,7.3,2019,16+,113.0
568,The Upside,English,7.0,2019,16+,125.0
571,Kelor Kirti,Bengali,4.2,2017,13+,153.0
572,Fidaa,Bengali,4.9,2018,13+,146.0
573,War (Hindi),Hindi,6.5,2019,13+,151.0
574,Anveshanam,Malayalam,6.0,2020,All,99.0
575,The Defender,Bengali,4.9,2004,18+,87.0
576,PlayMe Burlesque,English,5.8,2019,13+,50.0
577,Kareeb,Hindi,6.5,1998,All,148.0
578,Sex and Broadcasting,English,6.8,2014,NR,78.0
579,Middle Class Melodies,Telugu,7.7,2020,16+,135.0
582,Don't Breathe,English,7.1,2016,18+,88.0
585,Oru Maravathoor Kanavu,Malayalam,6.9,1998,All,131.0
586,Adimurai,Kannada,5.7,2020,All,140.0
587,Second Best,English,6.8,1994,13+,105.0
588,Yaare Neenu Cheluve,Kannada,8.0,1998,13+,140.0
589,Ghawre Bairey Aaj,Bengali,6.3,2019,16+,133.0
590,The Incredible Hulk,Hindi,6.7,2008,13+,112.0
592,Anokha Milan,Hindi,6.3,1972,NR,125.0
593,Dekh Kemon Lage,Bengali,4.3,2018,13+,138.0
595,Bermuda Tentacles ( English ),English,3.5,2014,All,85.0
597,Amish Grace,English,7.1,2010,13+,88.0
598,Theeran Adhigaaram Ondru,Tamil,8.2,2017,13+,156.0
600,Harry Potter and the Deathly Hallows: Part 1,English,7.7,2010,13+,146.0
601,Winner,Tamil,6.3,2003,13+,145.0
602,Another 48 Hrs.,English,5.9,1990,18+,95.0
603,Aruvi,Tamil,8.5,2017,13+,130.0
604,Malibu Shark Attack,Telugu,3.2,2009,18+,86.0
605,Chakravarthy,Tamil,7.0,1995,NR,134.0
606,Phuntroo,Marathi,5.5,2016,NR,130.0
607,Shah Jahan Regency,Bengali,6.5,2019,13+,153.0
608,Bakrid,Tamil,7.3,2019,All,118.0
610,Jumper,English,6.1,2008,13+,88.0
613,Yevadu,Telugu,5.6,2014,13+,165.0
614,Badaltey Rishtey,Hindi,6.8,1978,All,136.0
615,Pata Nahi Rabb Kehdeyan Rangan Ch Raazi,Punjabi,6.5,2012,All,153.0
616,Thudarkadha,Malayalam,6.5,1991,NR,141.0
617,"The Cat, the Reverend and the Slave",English,7.3,2009,NR,79.0
619,Avane Srimannarayana,Kannada,7.9,2019,13+,183.0
620,Mortal Kombat Legends: Scorpion's Revenge,English,7.4,2020,18+,79.0
621,Vellai Pookal,Tamil,7.2,2019,13+,120.0
623,Hera Pheri,Hindi,8.2,2000,7+,133.0
624,Paarthale Paravasam,Tamil,5.4,2001,13+,146.0
625,Perumazhakkalam,Malayalam,7.1,2004,All,111.0
626,Mana Mecchida Madadi,Kannada,7.6,1963,NR,157.0
628,Super Sketch,Telugu,6.8,2018,18+,119.0
629,Tasher Ghawr,Bengali,6.0,2020,13+,47.0
630,Tyagi,Hindi,5.1,1992,All,136.0
631,Mumbai Matinee,Hindi,5.2,2003,13+,115.0
632,Imaikkaa Nodigal,Tamil,7.4,2018,16+,168.0
633,The Legend of Tarzan,Hindi,6.2,2016,13+,109.0
634,Pati Parameshwar,Bengali,4.6,2014,All,131.0
636,Deewane,Hindi,4.7,2000,13+,160.0
637,Makalkku,Malayalam,6.7,2005,All,92.0
640,Flight 192,English,5.0,2016,16+,85.0
641,Ta Ra Rum Pum,Hindi,5.6,2007,All,155.0
642,Anand,Hindi,8.4,1970,All,116.0
644,Ente Ummante Peru,Malayalam,6.7,2018,13+,128.0
645,Rajoo Dada,Hindi,3.8,1992,NR,125.0
646,Birds of Prey,English,6.1,2020,18+,108.0
649,Rhythm,Tamil,7.5,2000,All,141.0
650,Red Dragon,English,7.2,2002,18+,124.0
652,Refugee,Bengali,4.9,2017,13+,155.0
653,Take One,Bengali,5.1,2014,NR,97.0
655,Alexander The Great,Malayalam,5.8,2010,NR,144.0
658,Thousand Oru Note Paranja Katha,Malayalam,2.0,2015,All,129.0
659,Saaho (Telugu),Telugu,5.2,2019,13+,169.0
660,Thallana,Kannada,6.6,2013,All,109.0
661,Adam Resurrected,English,6.3,2008,16+,106.0
662,Iniyum Kadha Thudarum,Malayalam,7.0,1985,NR,139.0
664,Men in Black II,English,6.2,2002,16+,88.0
665,Khwab,Hindi,6.0,1980,All,133.0
666,Chandramukhi,Telugu,7.1,1990,NR,82.0
667,Little Women,Telugu,7.8,2019,All,134.0
