"ID","MOVIE_NAME","LANGUAGE","IMBD_RATING","YEAR_OF_RELEASE","MATURITY_RATING","MINUTES"
819,"Catch a Falling Star","English",6,2000,"13+",85
820,"Ayudha Poojai","Tamil",5.8,1995,"18+",137
821,"Dharma Sere","Kannada",6.9,1979,"NR",119
822,"Thoongathey Thambi Thoongathey","Tamil",6.4,1983,"18+",137
823,"Jawaan (Hindi)","Hindi",4.7,2018,"13+",104
824,"Columbus","Telugu",7.2,2015,"13+",127
825,"All the Light in the Sky","English",6.4,2012,"NR",78
826,"CHI-RAQ","English",5.7,2015,"18+",126
827,"Thugs Of Hindostan (Hindi)","Hindi",4.1,2018,"16+",164
828,"Total Siyapaa","Hindi",5,2014,"13+",106
829,"My Best Friend's Girl","English",5.9,2008,"13+",100
830,"Ek Aur Zabardust Khiladi","Hindi",6.1,2014,"13+",103
831,"Family of Cops II: A Breach of Faith","English",5.5,1997,"13+",91
832,"Nagarangalil Chennu Raparkam","Malayalam",7.1,1990,"NR",155
834,"Ghare & Baire","Bengali",6.5,2018,"13+",117
835,"Bharat Ane Nenu","Telugu",7.7,2018,"13+",168
836,"Aickarakkonathe Bhishaguaranmaar","Malayalam",7.8,2018,"All",127
838,"The Proposition","English",4.7,1997,"18+",90
841,"Abhagini","Bengali",6.6,1991,"All",150
842,"Chhota Bheem Vs Aliens","Hindi",7.6,2010,"All",69
843,"Bloody Isshq","Hindi",7.5,2013,"NR",139
844,"Ek Hasina Thi","Hindi",7.5,2004,"18+",132
845,"A Teacher","English",6.9,2013,"NR",75
846,"Prem Pujari","Bengali",7,2017,"13+",131
847,"W/o V. Vara Prasad","Telugu",6.3,1998,"NR",124
848,"Sunayani","Bengali",2.8,1979,"All",105
849,"Vadhu Doctoranu","Malayalam",6,1994,"NR",134
850,"Dr. Seuss' The Lorax","Hindi",6.4,2012,"7+",86
851,"Alamara","Malayalam",5.3,2017,"All",126
852,"Baazigar","Hindi",7.7,1993,"13+",170
853,"Baadshah","Telugu",6.4,2013,"13+",164
854,"Kakkakum Poochakkum Kalyanam","Malayalam",5.3,1995,"NR",153
856,"Jessabelle","English",5.4,2014,"13+",90
857,"Aik","Marathi",4.9,2012,"13+",115
859,"Laavaan Phere","Punjabi",5.4,2018,"13+",122
860,"Uma","Bengali",7.3,2018,"13+",146
861,"23rd March 1931 Shaheed","Hindi",5.1,2002,"All",187
862,"Sin Sister","Bengali",5.4,2020,"13+",90
863,"Empire State","English",5.2,2013,"16+",90
864,"Get Duked!","English",6.2,2020,"16+",86
865,"Kidnap","Bengali",5.1,2019,"13+",124
866,"E Ee","Telugu",7.2,2017,"13+",148
867,"The Purge: Anarchy","Hindi",6.4,2014,"18+",103
868,"Chitthi","Marathi",7.7,2018,"NR",102
